session_id,date,month,device,load_time_s,hour,is_weekend,is_new_user,price_range,n_pages_viewed,has_coupon,cart_value,utm_source,exited_at,exit_reason,converted,order_value
0,2024-05-18,2024-05,desktop,3.23,15,1,1,budget,6,1,606.76,organic,checkout,otp_friction,0,0.0
1,2024-03-19,2024-03,mobile,2.21,16,0,0,mid,12,1,819.04,email,browse,poor_images,0,0.0
2,2024-06-07,2024-06,mobile,5.3,8,0,0,mid,4,1,1687.01,paid,landing,no_relevant_product,0,0.0
3,2024-01-11,2024-01,tablet,1.19,1,0,1,premium,15,0,259.98,social,browse,high_price,0,0.0
4,2024-03-13,2024-03,mobile,2.52,23,0,1,premium,18,1,94.39,paid,landing,unclear_nav,0,0.0
5,2024-03-21,2024-03,mobile,3.83,21,0,1,mid,14,0,300.05,paid,landing,no_relevant_product,0,0.0
6,2024-02-06,2024-02,mobile,2.15,8,0,0,budget,18,0,1034.14,paid,browse,poor_images,0,0.0
7,2024-02-15,2024-02,desktop,0.65,4,0,1,budget,10,0,161.51,social,product_detail,high_shipping,0,0.0
8,2024-02-17,2024-02,mobile,3.25,9,1,0,mid,16,0,1011.68,organic,landing,no_relevant_product,0,0.0
9,2024-01-28,2024-01,desktop,1.62,19,1,1,mid,19,0,406.07,social,product_detail,forced_login,0,0.0
10,2024-01-07,2024-01,mobile,1.79,21,1,1,budget,13,0,2510.76,organic,browse,poor_images,0,0.0
11,2024-02-22,2024-02,mobile,2.48,23,0,0,mid,14,0,768.69,organic,browse,no_reviews,0,0.0
12,2024-06-03,2024-06,mobile,3.81,13,0,1,mid,8,0,473.67,paid,browse,high_price,0,0.0
13,2024-03-21,2024-03,tablet,3.28,0,0,1,premium,10,0,271.02,paid,product_detail,price_comparison,0,0.0
14,2024-03-21,2024-03,mobile,2.77,10,0,0,premium,13,0,1074.09,paid,landing,slow_load,0,0.0
15,2024-03-25,2024-03,mobile,1.74,7,0,1,mid,6,0,732.31,email,browse,poor_images,0,0.0
16,2024-03-30,2024-03,desktop,3.99,15,1,1,mid,14,0,316.69,organic,landing,slow_load,0,0.0
17,2024-05-14,2024-05,mobile,1.36,18,0,1,mid,5,0,1203.58,paid,add_to_cart,no_guest_checkout,0,0.0
18,2024-06-01,2024-06,mobile,3.29,9,1,1,budget,3,0,1127.18,paid,product_detail,price_comparison,0,0.0
19,2024-03-05,2024-03,desktop,3.95,4,0,0,mid,10,0,403.89,paid,product_detail,high_shipping,0,0.0
20,2024-01-28,2024-01,mobile,3.1,14,1,0,budget,12,1,685.7,paid,product_detail,forced_login,0,0.0
21,2024-03-25,2024-03,mobile,2.89,10,0,0,budget,8,0,1304.12,social,landing,unclear_nav,0,0.0
22,2024-01-23,2024-01,tablet,2.71,5,0,1,budget,13,0,369.71,paid,landing,slow_load,0,0.0
23,2024-04-18,2024-04,mobile,2.29,15,0,0,mid,14,0,1025.91,email,landing,slow_load,0,0.0
24,2024-01-03,2024-01,desktop,8.61,21,0,0,mid,18,0,1776.08,direct,add_to_cart,unexpected_cost,0,0.0
25,2024-01-22,2024-01,mobile,5.38,3,0,0,mid,2,0,977.06,organic,add_to_cart,complex_form,0,0.0
26,2024-02-17,2024-02,desktop,0.72,17,1,0,mid,12,0,938.99,social,landing,slow_load,0,0.0
27,2024-03-23,2024-03,mobile,1.57,19,1,1,budget,3,0,562.56,organic,landing,no_relevant_product,0,0.0
28,2024-04-04,2024-04,desktop,1.54,1,0,0,budget,16,0,429.1,paid,browse,no_reviews,0,0.0
29,2024-05-22,2024-05,mobile,8.11,22,0,0,mid,4,0,930.05,paid,product_detail,price_comparison,0,0.0
30,2024-01-13,2024-01,mobile,1.64,17,1,0,mid,10,0,1380.19,social,landing,no_relevant_product,0,0.0
31,2024-02-04,2024-02,desktop,1.5,2,1,0,premium,3,0,1157.77,email,browse,no_reviews,0,0.0
32,2024-02-10,2024-02,mobile,3.79,3,1,1,mid,14,0,826.57,direct,add_to_cart,complex_form,0,0.0
33,2024-04-16,2024-04,mobile,1.55,10,0,0,premium,5,0,1171.0,social,browse,no_reviews,0,0.0
34,2024-05-04,2024-05,desktop,1.27,17,1,1,mid,10,1,475.86,paid,browse,out_of_stock,0,0.0
35,2024-04-16,2024-04,desktop,3.17,19,0,1,mid,4,0,622.04,social,product_detail,price_comparison,0,0.0
36,2024-01-10,2024-01,mobile,2.7,4,0,1,mid,15,0,1259.98,email,add_to_cart,complex_form,0,0.0
37,2024-01-20,2024-01,desktop,2.33,18,1,1,budget,15,1,1291.45,email,product_detail,high_shipping,0,0.0
38,2024-06-20,2024-06,desktop,2.87,9,0,1,premium,4,0,781.64,paid,product_detail,forced_login,0,0.0
39,2024-03-11,2024-03,mobile,2.12,0,0,1,mid,12,1,2981.36,organic,landing,no_relevant_product,0,0.0
40,2024-04-29,2024-04,mobile,5.32,23,0,0,mid,12,0,1131.02,email,landing,slow_load,0,0.0
41,2024-03-03,2024-03,mobile,2.68,17,1,1,mid,4,0,328.78,organic,browse,no_reviews,0,0.0
42,2024-05-11,2024-05,mobile,2.56,4,1,0,budget,6,1,859.33,social,payment,,0,0.0
43,2024-02-19,2024-02,mobile,1.48,11,0,1,mid,9,0,1169.02,paid,product_detail,price_comparison,0,0.0
44,2024-06-05,2024-06,desktop,2.12,2,0,1,premium,14,0,534.89,social,browse,out_of_stock,0,0.0
45,2024-06-23,2024-06,mobile,2.52,2,1,1,mid,3,1,625.46,email,payment,,0,0.0
